frame,timestamp
0,1685590249.9497862
1,1685590249.98239
2,1685590250.030521
3,1685590250.0616398
4,1685590250.094697
5,1685590250.1258276
6,1685590250.1583838
7,1685590250.189765
8,1685590250.2227478
9,1685590250.2548091
10,1685590250.2858493
11,1685590250.3183386
12,1685590250.3504686
13,1685590250.3817372
14,1685590250.414355
15,1685590250.4625132
16,1685590250.4947066
17,1685590250.52577
18,1685590250.55831
19,1685590250.590635
20,1685590250.6227062
21,1685590250.6542788
22,1685590250.6865044
23,1685590250.7186651
24,1685590250.749852
25,1685590250.7825003
26,1685590250.8137517
27,1685590250.8463414
28,1685590250.8946164
29,1685590250.9257972
30,1685590250.9585652
31,1685590250.99056
32,1685590251.0226848
33,1685590251.0547485
34,1685590251.0858388
35,1685590251.1183743
36,1685590251.1504989
37,1685590251.1824408
38,1685590251.2150075
39,1685590251.2465723
40,1685590251.2945201
41,1685590251.326638
42,1685590251.3576908
43,1685590251.3904245
44,1685590251.4226687
45,1685590251.453885
46,1685590251.4861007
47,1685590251.518262
48,1685590251.5504494
49,1685590251.5823274
50,1685590251.6146312
51,1685590251.645756
52,1685590251.67838
53,1685590251.7265737
54,1685590251.75866
55,1685590251.7902236
56,1685590251.822284
57,1685590251.8539252
58,1685590251.8863258
59,1685590251.9184608
60,1685590251.95072
61,1685590251.9823034
62,1685590252.0143657
63,1685590252.0464191
64,1685590252.0782316
65,1685590252.11049
66,1685590252.1585896
67,1685590252.1897485
68,1685590252.222638
69,1685590252.2542667
70,1685590252.2862697
71,1685590252.3183365
72,1685590252.3507702
73,1685590252.3823438
74,1685590252.4144466
75,1685590252.446557
76,1685590252.4786234
77,1685590252.5102308
78,1685590252.5424132
79,1685590252.590257
80,1685590252.6224124
81,1685590252.6545339
82,1685590252.6861959
83,1685590252.7182827
84,1685590252.750512
85,1685590252.7827113
86,1685590252.8143435
87,1685590252.8466704
88,1685590252.878247
89,1685590252.910347
90,1685590252.94241
91,1685590252.9744656
92,1685590253.02168
93,1685590253.0542264
94,1685590253.0862226
95,1685590253.118648
96,1685590253.1504498
97,1685590253.182365
98,1685590253.214522
99,1685590253.2465854
100,1685590253.2785158
101,1685590253.3104503
102,1685590253.3416445
103,1685590253.3744304
104,1685590253.40597
105,1685590253.4546373
106,1685590253.4862661
107,1685590253.5184054
108,1685590253.5502
109,1685590253.5823715
110,1685590253.6147397
111,1685590253.646274
112,1685590253.6784186
113,1685590253.7101374
114,1685590253.7422395
115,1685590253.7742813
116,1685590253.8062954
117,1685590253.8385303
118,1685590253.8862371
119,1685590253.918228
120,1685590253.9503312
121,1685590253.982393
122,1685590254.0141473
123,1685590254.0463243
124,1685590254.078405
125,1685590254.1097288
126,1685590254.1421897
127,1685590254.1744418
128,1685590254.2063134
129,1685590254.2383652
130,1685590254.270513
131,1685590254.3184447
132,1685590254.3501096
133,1685590254.3825057
134,1685590254.4140592
135,1685590254.4455986
136,1685590254.4783957
137,1685590254.510566
138,1685590254.542417
139,1685590254.5743923
140,1685590254.6061556
141,1685590254.6382005
142,1685590254.6704466
143,1685590254.702533
144,1685590254.7501814
145,1685590254.7822783
146,1685590254.8144
147,1685590254.8461964
148,1685590254.878537
149,1685590254.9096358
150,1685590254.9421394
151,1685590254.9744034
152,1685590255.00646
153,1685590255.0380044
154,1685590255.0702238
155,1685590255.102266
156,1685590255.1343977
157,1685590255.1823483
158,1685590255.2140703
159,1685590255.2462063
160,1685590255.278343
161,1685590255.3100016
162,1685590255.3420565
163,1685590255.3743324
164,1685590255.4059992
165,1685590255.4380531
166,1685590255.4704812
167,1685590255.5020273
168,1685590255.5345988
169,1685590255.5823083
170,1685590255.6144223
171,1685590255.6464863
172,1685590255.6781394
173,1685590255.7105505
174,1685590255.7421014
175,1685590255.774243
176,1685590255.8063111
177,1685590255.8383892
178,1685590255.8702574
179,1685590255.9023948
